VariationCategory;VariationCategory;VariationSubCategory;Subcase;Description;Example;Severity
Individuals;Initials;firstname_initials_single;firstname_initials_single;;BUITRAGO DE HERRERA, Luz Mery ->  L. Mery Buitrago de Herrera;Medium
Individuals;Initials;firstname_initials;firstname_initials;;BUITRAGO DE HERRERA, Luz Mery ->  L. M. Buitrago de Herrera;Medium
Individuals;Initials;initials_lastname;initials_lastname;;BUITRAGO DE HERRERA, Luz Mery -> Luz Mery B. de Herrera;Medium
Individuals;Initials;lastname_initials_clear_first_name;lastname_initials_clear_first_name;;BUITRAGO DE HERRERA, Luz Mery -> B. de Herrera;Medium
Individuals;Character Extension;add_spc_in_letters;add_spc_in_letters;;BUITRAGO DE HERRERA, Luz Mery -> Lu z Mery Buitrago de Herrera;Low
Individuals;Character Extension;add_prefix;add_al-;;QADHAFI, Muammar  -> Muammar al-Qadhafi;Medium
Individuals;Character Extension;add_prefix;add_Al_and_space;;QADHAFI, Muammar  -> Muammar Al Qadhafi;Medium
Individuals;Character Extension;add_prefix;add_El_and_space;;QADHAFI, Muammar  -> Muammar El Qadhafi;Medium
Individuals;Character Extension;add_vowel;add_vowel;;QADHAFI, Muammar  -> Mouammar El Qadhafi;Low
Individuals;Character Extension;add_h_before_vowel;add_h_before_vowel;;BUITRAGO DE HERRERA, Luz Mery -> Luz Mhery Buitrago de Herreras;Low
Individuals;Character Extension;add_consonant;add_consonant_s;;BUITRAGO DE HERRERA, Luz Mery -> Luz Mery Buitrago de Herreras;Low
Individuals;Character Extension;add_consonant;add_consonant_r;;BUITRAGO DE HERRERA, Luz Mery -> Luz Mery Buitragor de Herrera;Low
Individuals;Character Extension;add_consonant;add_consonant_z;;BUITRAGO DE HERRERA, Luz Mery -> Luz Mery Buitrago de Herreraz;Low
Individuals;Character Extension;add_consonant;add_consonant_uncommon;;BUITRAGO DE HERRERA, Luz Mery -> Luz Meryt Buitrago de Herrera;Medium
Individuals;Character Extension;add_consonant;add_consonant_double;;BUITRAGO DE HERRERA, Luz Mery -> Luz Mery Buitragozz de Herrera;Medium
Individuals;Character Extension;add_special_character;add_special_character_';;QADHAFI, Muammar  -> Mu'Ammar El Qadhafi;Low
Individuals;Character Extension;add_special_character;add_special_character_accent;;LINARES REYES, Ricardo Jose -> Ricardo José Linares Reyes;Low
Individuals;Character Extension;add_special_character;add_special_character_uncommon;;LINARES REYES, Ricardo Jose -> Ricardo Jos! Linares Reyes;Low
Individuals;Character Replacement;phonetic_replacement;replace_s_z;;LINARES REYES, Ricardo Jose -> Ricardo Jose Linarez Reyes;Low
Individuals;Character Replacement;phonetic_replacement;replace_z_s;;DIAZ, Manuel -> Manuel Dias;Low
Individuals;Character Replacement;phonetic_replacement;replace_s_c;;CHIHOTA, Phineas -> Phineac Chihota;Low
Individuals;Character Replacement;phonetic_replacement;replace_c_s;;GARCIA, Freddy -> Freddy Garsia;Low
Individuals;Character Replacement;phonetic_replacement;replace_c_z;;GARCIA, Freddy -> Freddy Garzia;Low
Individuals;Character Replacement;phonetic_replacement;replace_z_c;;GONZALEZ BENITEZ, Olga Patricia - > Olga Patrizia Goncalez Benitez;Low
Individuals;Character Replacement;phonetic_replacement;replace_u_o;;BUITRAGO DE HERRERA, Luz Mery -> Loz Mery Buitrago de Herrera;Low
Individuals;Character Replacement;phonetic_replacement;replace_o_u;;GONZALEZ BENITEZ, Olga Patricia - > Olga Patricia Gunzalez Benitez;Low
Individuals;Character Replacement;phonetic_replacement;replace_ua_o;;QADHAFI, Muammar  -> Mommar El Qadhafi;Low
Individuals;Character Replacement;phonetic_replacement;replace_o_ua;;VALLEJO FRANCO, Inigo -> Inigua Vallejo Franco;Low
Individuals;Character Replacement;phonetic_replacement;replace_ph_f;;CHIHOTA, Phineas -> Fineas Chihota;Low
Individuals;Character Replacement;phonetic_replacement;replace_f_ph;;CHARUMBIRA, Fortune Zefanaya -> Fortune Zefanaya Charumbira;Low
Individuals;Character Replacement;phonetic_replacement;replace_y_i;;TSYPLAKOV, Sergey Gennadevich -> Sergey Gennadevich Tsiplakov;Low
Individuals;Character Replacement;phonetic_replacement;replace_i_y;;IOFFE, Eduard A -> Eduard A Yoffe;Low
Individuals;Character Replacement;phonetic_replacement;replace_d_th;;GEIGES, Daniel -> Thaniel Geiges;Low
Individuals;Character Replacement;phonetic_replacement;replace_th_d;;MUNERA VELASQUEZ, Martha Marina -> MUNERA VELASQUEZ, Martha Marina;Low
Individuals;Character Replacement;phonetic_replacement;replace_v_w;;VILLOTA SEGURA, Aldemar -> Aldemar Villota Segura;Low
Individuals;Character Replacement;phonetic_replacement;replace_w_v;;OCHOA GUISAO, Walter -> Valter Ochoa Guisao;Low
Individuals;Character Replacement;phonetic_replacement;replace_k_q;;KIM, Kang Jin -> Qang Jin Kim;Low
Individuals;Character Replacement;phonetic_replacement;replace_q_k;;QADO, Waad -> Waad Qado;Low
Individuals;Character Replacement;phonetic_replacement;replace_v_b;;IBARRA CARDONA, Carlos Jesus Ivan -> Carlos Jesus Iban Ibarra Cardona;Low
Individuals;Character Replacement;phonetic_replacement;replace_b_v;;IBARRA CARDONA, Carlos Jesus Ivan -> Carlos Jesus Ivan Ivarra Cardona;Low
Individuals;Character Replacement;phonetic_replacement;replace_a_e;;ERDOGAN, Emrah -> Emrah Erdogen;Low
Individuals;Character Replacement;phonetic_replacement;replace_e_a;;ERDOGAN, Emrah -> Emrah Ardogan;Low
